,0,1,2,3,4,5,6,7,8,9
0,2,2017-04-11,12:53:28,26.0,905,96.2,44,1,1,3
1,6,2017-04-11,13:53:28,26.7,905,98.0,40,1,1,3
2,10,2017-04-11,14:53:28,26.7,927,97.8,34,1,1,3
3,14,2017-04-11,15:53:28,26.8,946,87.9,35,1,0,2
4,18,2017-04-11,16:53:28,26.9,952,86.7,37,1,0,2
5,22,2017-04-11,17:53:28,27.0,960,86.4,40,1,0,2
6,26,2017-04-11,18:53:28,27.0,968,86.4,40,1,0,2
7,30,2017-04-11,19:53:28,27.0,974,85.1,40,1,0,2
8,34,2017-04-11,20:53:28,27.1,989,83.4,38,1,0,2
9,38,2017-04-11,21:53:28,27.0,989,80.4,35,1,0,2
10,42,2017-04-11,22:53:28,27.0,992,83.2,30,1,0,2
11,46,2017-04-11,23:53:28,27.0,994,82.3,26,1,0,2
12,50,2017-04-11,0:53:28,27.0,993,82.5,22,1,0,2
13,54,2017-04-11,1:53:28,26.9,998,82.6,20,1,0,2
14,58,2017-04-11,2:53:28,26.8,1002,82.6,20,1,0,2
15,62,2017-04-11,3:53:28,26.8,1002,82.3,18,1,0,2
16,66,2017-04-11,4:53:28,26.6,1000,83.6,17,1,0,2
17,70,2017-04-11,5:53:28,26.7,1003,85.2,17,1,0,2
18,74,2017-04-11,6:53:28,26.7,1000,85.1,17,1,0,2
19,78,2017-04-11,7:53:28,26.6,998,86.5,16,1,0,2
20,86,2017-04-11,9:53:28,26.7,997,87.6,17,1,0,2
21,90,2017-04-11,10:53:28,26.7,1001,87.6,16,1,0,2
22,94,2017-04-11,11:53:28,26.7,1006,88.4,15,1,0,2
23,98,2017-04-11,12:53:28,26.7,1011,88.2,14,1,0,2
24,102,2017-04-11,13:53:28,26.6,1011,85.8,14,1,0,2
25,106,2017-04-11,14:53:28,26.3,941,88.1,15,1,0,2
26,114,2017-04-11,16:53:28,26.7,934,94.8,13,1,0,2
27,118,2017-04-11,17:53:28,26.8,936,95.7,12,1,0,2
28,122,2017-04-11,18:53:28,26.8,939,95.8,12,1,0,2
29,126,2017-04-11,19:53:28,26.8,938,96.9,11,1,0,2
30,130,2017-04-11,20:53:28,26.8,942,98.1,10,1,0,2
31,134,2017-04-11,21:53:28,26.9,944,98.6,10,1,0,2
32,138,2017-04-11,22:53:28,26.9,942,99.3,7,1,0,2
33,142,2017-04-11,23:53:28,26.9,940,99.9,6,1,0,2
34,146,2017-04-11,0:53:28,26.9,944,99.9,7,1,0,2
35,150,2017-04-11,1:53:28,26.9,941,99.9,6,1,0,2
36,154,2017-04-11,2:53:28,26.8,941,99.9,6,1,0,2
37,158,2017-04-11,3:53:28,26.8,945,99.9,6,1,0,2
38,162,2017-04-11,4:53:28,26.8,941,99.9,5,1,0,2
39,166,2017-04-11,5:53:28,26.8,943,99.9,5,1,0,2
40,174,2017-04-11,7:53:28,26.8,934,99.9,5,1,0,2
41,178,2017-04-11,8:53:28,26.8,938,99.9,4,1,0,2
42,182,2017-04-11,9:53:28,26.8,932,99.9,4,1,0,2
43,186,2017-04-11,10:53:28,26.8,931,99.9,9,1,0,2
44,190,2017-04-11,11:53:28,26.8,931,99.9,9,1,0,2
45,194,2017-04-11,12:53:28,26.8,927,99.9,9,1,1,3
46,198,2017-04-11,13:53:28,26.8,931,99.9,10,1,0,2
47,202,2017-04-11,14:53:28,26.8,933,99.9,10,1,0,2
48,206,2017-04-11,15:53:28,26.8,938,99.9,10,1,0,2
49,210,2017-04-11,16:53:28,26.7,938,99.9,10,1,0,2
50,214,2017-04-11,17:53:28,25.6,1008,90.6,11,0,0,0
51,218,2017-04-11,18:53:28,25.5,970,99.9,10,0,0,0
52,222,2017-04-11,19:53:28,26.0,940,99.9,10,1,0,2
53,226,2017-04-11,20:53:28,26.1,940,99.9,10,1,0,2
54,230,2017-04-11,21:53:28,26.1,939,99.9,10,1,0,2
55,246,2017-04-12,1:53:28,25.8,931,99.9,3,0,0,0
56,250,2017-04-12,2:53:28,25.8,931,99.9,3,0,0,0
57,254,2017-04-12,3:53:28,25.6,934,99.9,3,0,0,0
58,258,2017-04-12,4:53:28,25.6,937,99.9,3,0,0,0
59,262,2017-04-12,5:53:28,25.6,940,99.9,3,0,0,0
60,266,2017-04-12,6:53:28,25.5,938,99.9,4,0,0,0
61,270,2017-04-12,7:53:28,25.5,940,99.9,4,0,0,0
62,274,2017-04-12,8:53:28,25.5,937,99.9,12,0,0,0
63,278,2017-04-12,9:53:28,25.5,928,99.9,17,0,1,1
64,282,2017-04-12,10:53:28,25.5,928,99.9,17,0,1,1
65,290,2017-04-12,12:53:28,24.8,986,93.9,36,0,0,0
66,294,2017-04-12,13:53:28,25.5,941,99.9,45,0,0,0
67,302,2017-04-12,15:53:28,25.8,940,99.9,63,0,0,0
68,306,2017-04-12,16:53:28,25.9,940,99.9,64,0,0,0
69,310,2017-04-12,17:53:28,25.9,945,99.9,62,0,0,0
70,314,2017-04-12,18:53:28,26.1,945,99.9,62,1,0,2
71,318,2017-04-12,19:53:28,26.2,944,99.9,58,1,0,2
72,322,2017-04-12,20:53:28,26.2,940,99.9,57,1,0,2
73,326,2017-04-12,21:53:28,26.3,946,99.9,58,1,0,2
74,334,2017-04-12,23:53:28,26.3,953,99.9,57,1,0,2
75,338,2017-04-12,0:53:28,26.2,952,99.9,56,1,0,2
76,342,2017-04-12,1:53:28,26.3,945,99.9,55,1,0,2
77,346,2017-04-12,2:53:28,26.3,946,99.9,54,1,0,2
78,350,2017-04-12,3:53:28,26.3,946,99.9,53,1,0,2
79,354,2017-04-12,4:53:28,26.4,948,99.9,53,1,0,2
80,358,2017-04-12,5:53:28,26.2,955,99.9,50,1,0,2
81,362,2017-04-12,6:53:28,26.4,950,99.9,50,1,0,2
82,370,2017-04-12,8:53:28,26.4,952,99.9,48,1,0,2
83,374,2017-04-12,9:53:28,26.5,950,99.9,46,1,0,2
84,378,2017-04-12,10:53:28,26.5,951,99.9,45,1,0,2
85,382,2017-04-12,11:53:28,26.5,1004,92.2,37,1,0,2
86,390,2017-04-12,13:53:28,26.3,1021,90.6,30,1,0,2
87,394,2017-04-12,14:53:28,26.3,1024,90.9,24,1,0,2
88,398,2017-04-12,15:53:28,26.3,953,99.9,10,1,0,2
89,402,2017-04-12,16:53:28,26.3,954,99.9,10,1,0,2
90,406,2017-04-12,17:53:28,26.1,974,99.9,10,1,0,2
91,410,2017-04-12,18:53:28,26.1,966,99.9,10,1,0,2
92,414,2017-04-12,19:53:28,26.1,966,99.9,10,1,0,2
93,418,2017-04-12,20:53:28,28.3,962,99.9,10,1,0,2
94,422,2017-04-12,21:53:28,26.1,958,99.9,10,1,0,2
95,426,2017-04-12,22:53:28,26.1,960,99.9,10,1,0,2
96,430,2017-04-12,23:53:28,26.1,964,99.9,10,1,0,2
97,438,2017-04-12,1:53:28,26.2,958,99.9,10,1,0,2
98,442,2017-04-12,2:53:28,26.2,958,99.9,10,1,0,2
99,446,2017-04-12,3:53:28,26.2,960,99.9,10,1,0,2
100,450,2017-04-12,4:53:28,26.2,958,99.9,10,1,0,2
101,454,2017-04-12,5:53:28,20.8,957,99.9,10,0,0,0
102,458,2017-04-12,6:53:28,26.2,956,99.9,9,1,0,2
103,462,2017-04-12,7:53:28,26.2,962,99.9,9,1,0,2
104,466,2017-04-12,8:53:28,26.3,964,99.9,9,1,0,2
105,470,2017-04-12,9:53:28,26.3,962,99.9,9,1,0,2
106,474,2017-04-12,10:53:28,26.2,963,99.9,9,1,0,2
107,482,2017-04-12,12:53:28,26.2,962,99.9,10,1,0,2
108,490,2017-04-12,14:53:28,25.7,961,99.9,10,0,0,0
109,498,2017-04-12,16:53:28,22.4,956,99.9,10,0,0,0
110,502,2017-04-12,17:53:28,26.2,963,99.9,10,1,0,2
111,506,2017-04-12,18:53:28,26.1,961,99.9,10,1,0,2
112,510,2017-04-12,19:53:28,26.1,954,99.9,10,1,0,2
113,514,2017-04-12,20:53:28,26.1,953,99.9,10,1,0,2
114,518,2017-04-12,21:53:28,26.1,955,99.9,10,1,0,2
115,522,2017-04-12,22:53:28,26.1,955,99.9,10,1,0,2
116,526,2017-04-12,23:53:28,26.1,951,99.9,3,1,0,2
117,538,2017-04-13,2:53:28,26.1,945,99.9,4,1,0,2
118,542,2017-04-13,3:53:28,26.1,945,99.9,4,1,0,2
119,546,2017-04-13,4:53:28,26.1,942,99.9,5,1,0,2
120,550,2017-04-13,5:53:28,26.1,951,99.9,3,1,0,2
121,554,2017-04-13,6:53:28,26.1,950,99.9,3,1,0,2
122,558,2017-04-13,7:53:28,26.0,948,99.9,3,1,0,2
123,562,2017-04-13,8:53:28,26.0,952,99.9,3,1,0,2
124,566,2017-04-13,9:53:28,26.0,945,99.9,3,1,0,2
125,570,2017-04-13,10:53:28,26.0,946,99.9,3,1,0,2
126,574,2017-04-13,11:53:28,26.0,951,99.9,3,1,0,2
127,578,2017-04-13,12:53:28,26.0,941,99.9,3,1,0,2
128,582,2017-04-13,13:53:28,26.0,945,99.9,3,1,0,2
129,586,2017-04-13,14:53:28,25.9,941,99.9,3,0,0,0
130,590,2017-04-13,15:53:28,26.0,948,99.9,3,1,0,2
131,594,2017-04-13,16:53:28,25.8,938,99.9,3,0,0,0
132,598,2017-04-13,17:53:28,25.7,940,99.9,37,0,0,0
133,602,2017-04-13,18:53:28,25.4,952,99.9,32,0,0,0
134,606,2017-04-13,19:53:28,25.3,942,99.9,104,0,0,0
135,610,2017-04-13,20:53:28,25.4,945,99.9,95,0,0,0
136,614,2017-04-13,21:53:28,25.4,987,99.9,87,0,0,0
137,618,2017-04-13,22:53:28,25.6,990,99.9,76,0,0,0
138,622,2017-04-13,23:53:28,25.8,989,99.9,79,0,0,0
139,626,2017-04-13,0:53:28,25.9,986,99.9,10,0,0,0
140,630,2017-04-13,1:53:28,25.6,895,93.7,8,0,1,1
141,634,2017-04-13,2:53:28,26.0,903,99.9,5,1,1,3
142,638,2017-04-13,3:53:28,26.1,904,99.9,6,1,1,3
143,642,2017-04-13,4:53:28,26.0,914,99.9,5,1,1,3
144,654,2017-04-13,7:53:28,26.1,921,99.9,10,1,1,3
145,658,2017-04-13,8:53:28,26.2,925,99.9,10,1,1,3
146,662,2017-04-13,9:53:28,26.3,915,99.9,10,1,1,3
147,666,2017-04-13,10:53:28,26.3,930,99.9,10,1,0,2
148,670,2017-04-13,11:53:28,26.2,922,99.9,10,1,1,3
